Time,BIOZ_DATA
57.671875,-354
57.6875,-353
57.703125,-353
57.71875,-346
57.734375,-342
57.75,-345
57.765625,-352
57.78125,-352
57.796875,-348
57.8125,-348
57.828125,-348
57.84375,-344
57.859375,-340
57.875,-345
57.890625,-346
57.90625,-347
57.921875,-347
57.9375,-348
57.953125,-347
57.96875,-343
57.984375,-346
58.0,-352
58.015625,-357
58.03125,-361
58.046875,-363
58.0625,-361
58.078125,-360
58.09375,-360
58.109375,-357
58.125,-358
58.140625,-356
58.15625,-361
58.171875,-361
58.1875,-362
58.203125,-368
58.21875,-363
58.234375,-356
58.25,-359
58.265625,-370
58.28125,-372
58.296875,-365
58.3125,-361
58.328125,-366
58.34375,-370
58.359375,-371
58.375,-374
58.390625,-373
58.40625,-372
58.421875,-366
58.4375,-364
58.453125,-360
58.46875,-352
58.484375,-349
58.5,-353
58.515625,-355
58.53125,-349
58.546875,-347
58.5625,-349
58.578125,-350
58.59375,-347
58.609375,-352
58.625,-355
58.640625,-352
58.65625,-344
58.671875,-341
58.6875,-344
58.703125,-342
58.71875,-339
58.734375,-341
58.75,-344
58.765625,-341
58.78125,-340
58.796875,-336
58.8125,-332
58.828125,-333
58.84375,-340
58.859375,-343
58.875,-344
58.890625,-343
58.90625,-346
58.921875,-342
58.9375,-338
58.953125,-337
58.96875,-336
58.984375,-339
59.0,-339
59.015625,-330
59.03125,-325
59.046875,-334
59.0625,-341
59.078125,-334
59.09375,-331
59.109375,-334
59.125,-326
59.140625,-322
59.15625,-327
59.171875,-330
59.1875,-322
59.203125,-311
59.21875,-311
59.234375,-310
59.25,-302
59.265625,-299
59.28125,-310
59.296875,-315
59.3125,-312
59.328125,-311
59.34375,-314
59.359375,-308
59.375,-300
59.390625,-305
59.40625,-313
59.421875,-311
59.4375,-301
59.453125,-299
59.46875,-307
59.484375,-309
59.5,-307
59.515625,-308
59.53125,-314
59.546875,-314
59.5625,-309
59.578125,-315
59.59375,-327
59.609375,-329
59.625,-326
59.640625,-329
59.65625,-330
59.671875,-329
59.6875,-333
59.703125,-341
59.71875,-345
59.734375,-344
59.75,-343
59.765625,-344
59.78125,-343
59.796875,-340
59.8125,-339
59.828125,-347
59.84375,-352
59.859375,-347
59.875,-338
59.890625,-345
59.90625,-361
59.921875,-365
59.9375,-353
59.953125,-346
59.96875,-337
59.984375,-337
60.0,-341
60.015625,-346
60.03125,-340
60.046875,-337
60.0625,-334
60.078125,-332
60.09375,-334
60.109375,-329
60.125,-331
60.140625,-341
60.15625,-347
60.171875,-347
60.1875,-354
60.203125,-360
60.21875,-351
60.234375,-342
60.25,-354
60.265625,-362
60.28125,-356
60.296875,-346
60.3125,-342
60.328125,-346
60.34375,-354
60.359375,-362
60.375,-366
60.390625,-367
60.40625,-367
60.421875,-370
60.4375,-366
60.453125,-361
60.46875,-361
60.484375,-361
60.5,-359
60.515625,-362
60.53125,-367
60.546875,-367
60.5625,-365
60.578125,-368
60.59375,-364
60.609375,-364
60.625,-364
60.640625,-368
60.65625,-369
60.671875,-371
60.6875,-369
60.703125,-367
60.71875,-365
60.734375,-363
60.75,-359
60.765625,-356
60.78125,-353
60.796875,-356
60.8125,-356
60.828125,-348
60.84375,-347
60.859375,-354
60.875,-357
60.890625,-354
60.90625,-351
60.921875,-356
60.9375,-359
60.953125,-360
60.96875,-359
60.984375,-359
61.0,-363
61.015625,-370
61.03125,-368
61.046875,-359
61.0625,-356
61.078125,-362
61.09375,-368
61.109375,-371
61.125,-374
61.140625,-371
61.15625,-362
61.171875,-359
61.1875,-363
61.203125,-369
61.21875,-377
61.234375,-377
61.25,-372
61.265625,-375
61.28125,-376
61.296875,-373
61.3125,-372
61.328125,-378
61.34375,-380
61.359375,-377
61.375,-365
61.390625,-362
61.40625,-374
61.421875,-376
61.4375,-371
61.453125,-371
61.46875,-370
61.484375,-365
61.5,-363
61.515625,-363
61.53125,-354
61.546875,-351
61.5625,-357
61.578125,-363
61.59375,-362
61.609375,-358
61.625,-356
61.640625,-352
61.65625,-345
61.671875,-342
61.6875,-348
61.703125,-350
61.71875,-351
61.734375,-349
61.75,-354
61.765625,-360
61.78125,-360
61.796875,-352
61.8125,-349
61.828125,-351
61.84375,-354
61.859375,-350
61.875,-347
61.890625,-355
61.90625,-360
61.921875,-351
61.9375,-348
61.953125,-346
61.96875,-342
61.984375,-338
62.0,-338
62.015625,-346
62.03125,-351
62.046875,-348
62.0625,-339
62.078125,-329
62.09375,-323
62.109375,-327
62.125,-332
62.140625,-325
62.15625,-315
62.171875,-313
62.1875,-318
62.203125,-317
62.21875,-308
62.234375,-301
62.25,-301
62.265625,-305
62.28125,-307
62.296875,-301
62.3125,-304
62.328125,-309
62.34375,-309
62.359375,-301
62.375,-294
62.390625,-296
62.40625,-297
62.421875,-292
62.4375,-291
62.453125,-295
62.46875,-299
62.484375,-303
62.5,-308
62.515625,-305
62.53125,-300
62.546875,-303
62.5625,-311
62.578125,-315
62.59375,-317
62.609375,-316
62.625,-315
62.640625,-319
62.65625,-326
62.671875,-328
62.6875,-328
62.703125,-325
62.71875,-326
62.734375,-331
62.75,-336
62.765625,-342
62.78125,-340
62.796875,-335
62.8125,-334
62.828125,-332
62.84375,-335
62.859375,-339
62.875,-337
62.890625,-337
62.90625,-337
62.921875,-335
62.9375,-332
62.953125,-333
62.96875,-339
62.984375,-333
63.0,-327
63.015625,-329
63.03125,-336
63.046875,-338
63.0625,-338
63.078125,-339
63.09375,-342
63.109375,-342
63.125,-332
63.140625,-327
63.15625,-334
63.171875,-342
63.1875,-345
63.203125,-348
63.21875,-345
63.234375,-344
63.25,-350
63.265625,-356
63.28125,-356
63.296875,-354
63.3125,-357
63.328125,-357
63.34375,-355
63.359375,-358
63.375,-364
63.390625,-363
63.40625,-363
63.421875,-364
63.4375,-363
63.453125,-363
63.46875,-366
63.484375,-369
63.5,-366
63.515625,-363
63.53125,-362
63.546875,-366
63.5625,-364
63.578125,-360
63.59375,-363
63.609375,-363
63.625,-359
63.640625,-355
63.65625,-353
63.671875,-352
63.6875,-346
63.703125,-346
63.71875,-353
63.734375,-356
63.75,-352
63.765625,-351
63.78125,-352
63.796875,-349
63.8125,-349
63.828125,-355
63.84375,-356
63.859375,-351
63.875,-352
63.890625,-358
63.90625,-355
63.921875,-352
63.9375,-355
63.953125,-357
63.96875,-354
63.984375,-351
64.0,-354
64.015625,-361
64.03125,-362
64.046875,-365
64.0625,-366
64.078125,-363
64.09375,-366
64.109375,-367
64.125,-367
64.140625,-363
64.15625,-367
64.171875,-377
64.1875,-377
64.203125,-369
64.21875,-366
64.234375,-376
64.25,-377
64.265625,-370
64.28125,-369
64.296875,-371
64.3125,-367
64.328125,-368
64.34375,-369
64.359375,-367
64.375,-360
64.390625,-357
64.40625,-363
64.421875,-367
64.4375,-361
64.453125,-356
64.46875,-355
64.484375,-354
64.5,-357
64.515625,-359
64.53125,-363
64.546875,-362
64.5625,-356
64.578125,-350
64.59375,-352
64.609375,-353
64.625,-351
64.640625,-349
64.65625,-353
64.671875,-356
64.6875,-356
64.703125,-358
64.71875,-359
64.734375,-355
64.75,-349
64.765625,-349
64.78125,-352
64.796875,-356
64.8125,-356
64.828125,-351
64.84375,-349
64.859375,-350
64.875,-352
64.890625,-348
64.90625,-343
64.921875,-346
64.9375,-349
64.953125,-343
64.96875,-338
